severity,n,mean_success_rate,std_success_rate,stderr_success_rate
0,3,0.7966666666666667,0.005773502691896262,0.003333333333333336
1,3,0.7733333333333334,0.020816659994661344,0.012018504251546642
2,3,0.6733333333333333,0.06506407098647712,0.03756475889861549
3,3,0.49666666666666665,0.011547005383792526,0.006666666666666673
4,3,0.2833333333333334,0.04041451884327381,0.023333333333333338
